dt,state,confirmed
2020-01-24,NY,0
2020-01-24,OH,0
2020-01-24,OK,0
2020-01-24,OR,0
2020-01-24,PA,0
2020-01-24,RI,0
2020-01-24,SC,0
2020-01-24,SD,0
2020-01-24,TN,0
2020-01-24,TX,0
2020-01-24,UT,0
2020-01-24,VA,0
2020-01-24,VT,0
2020-01-24,WA,1
2020-01-24,WI,0
2020-01-24,WV,0
2020-01-24,WY,0
2020-01-25,AK,0
2020-01-25,AL,0
2020-01-25,AR,0
2020-01-25,AZ,0
2020-01-25,CA,0
2020-01-25,CO,0
2020-01-25,CT,0
2020-01-25,D.C.,0
2020-01-25,DE,0
2020-01-25,FL,0
2020-01-25,GA,0
2020-01-25,HI,0
2020-01-25,IA,0
2020-01-25,ID,0
2020-01-25,IL,1
2020-01-25,IN,0
2020-01-25,KS,0
2020-01-25,KY,0
2020-01-25,LA,0
2020-01-25,MA,0
2020-01-25,MD,0
2020-01-25,ME,0
2020-01-25,MI,0
2020-01-25,MN,0
2020-01-25,MO,0
2020-01-25,MS,0
2020-01-25,MT,0
2020-01-25,NC,0
2020-01-25,ND,0
2020-01-25,NE,0
2020-01-25,NH,0
2020-01-25,NJ,0
2020-01-25,NM,0
2020-01-25,NV,0
2020-01-25,NY,0
2020-01-25,OH,0
2020-01-25,OK,0
2020-01-25,OR,0
2020-01-25,PA,0
2020-01-25,RI,0
2020-01-25,SC,0
2020-01-25,SD,0
2020-01-25,TN,0
2020-01-25,TX,0
2020-01-25,UT,0
2020-01-25,VA,0
2020-01-25,VT,0
2020-01-25,WA,1
2020-01-25,WI,0
2020-01-25,WV,0
2020-01-25,WY,0
2020-01-26,AK,0
2020-01-26,AL,0
2020-01-26,AR,0
2020-01-26,AZ,1
2020-01-26,CA,2
2020-01-26,CO,0
2020-01-26,CT,0
2020-01-26,D.C.,0
2020-01-26,DE,0
2020-01-26,FL,0
2020-01-26,GA,0
2020-01-26,HI,0
2020-01-26,IA,0
2020-01-26,ID,0
2020-01-26,IL,1
2020-01-26,IN,0
2020-01-26,KS,0
2020-01-26,KY,0
2020-01-26,LA,0
2020-01-26,MA,0
2020-01-26,MD,0
2020-01-26,ME,0
2020-01-26,MI,0
2020-01-26,MN,0
2020-01-26,MO,0
2020-01-26,MS,0
2020-01-26,MT,0
2020-01-26,NC,0
2020-01-26,ND,0
2020-01-26,NE,0
2020-01-26,NH,0
2020-01-26,NJ,0
2020-01-26,NM,0
2020-01-26,NV,0
2020-01-26,NY,0
2020-01-26,OH,0
2020-01-26,OK,0
2020-01-26,OR,0
2020-01-26,PA,0
2020-01-26,RI,0
2020-01-26,SC,0
2020-01-26,SD,0
2020-01-26,TN,0
2020-01-26,TX,0
2020-01-26,UT,0
2020-01-26,VA,0
2020-01-26,VT,0
2020-01-26,WA,1
2020-01-26,WI,0
2020-01-26,WV,0
2020-01-26,WY,0
2020-01-27,AK,0
2020-01-27,AL,0
2020-01-27,AR,0
2020-01-27,AZ,1
2020-01-27,CA,2
2020-01-27,CO,0
2020-01-27,CT,0
2020-01-27,D.C.,0
2020-01-27,DE,0
2020-01-27,FL,0
2020-01-27,GA,0
2020-01-27,HI,0
2020-01-27,IA,0
2020-01-27,ID,0
2020-01-27,IL,1
2020-01-27,IN,0
2020-01-27,KS,0
2020-01-27,KY,0
2020-01-27,LA,0
2020-01-27,MA,0
2020-01-27,MD,0
2020-01-27,ME,0
2020-01-27,MI,0
2020-01-27,MN,0
2020-01-27,MO,0
2020-01-27,MS,0
2020-01-27,MT,0
2020-01-27,NC,0
2020-01-27,ND,0
2020-01-27,NE,0
2020-01-27,NH,0
2020-01-27,NJ,0
2020-01-27,NM,0
2020-01-27,NV,0
2020-01-27,NY,0
2020-01-27,OH,0
2020-01-27,OK,0
2020-01-27,OR,0
2020-01-27,PA,0
2020-01-27,RI,0
2020-01-27,SC,0
2020-01-27,SD,0
2020-01-27,TN,0
2020-01-27,TX,0
2020-01-27,UT,0
2020-01-27,VA,0
2020-01-27,VT,0
2020-01-27,WA,1
2020-01-27,WI,0
2020-01-27,WV,0
2020-01-27,WY,0
2020-01-28,AK,0
2020-01-28,AL,0
2020-01-28,AR,0
2020-01-28,AZ,1
2020-01-28,CA,2
2020-01-28,CO,0
2020-01-28,CT,0
2020-01-28,D.C.,0
2020-01-28,DE,0
2020-01-28,FL,0
2020-01-28,GA,0
2020-01-28,HI,0
2020-01-28,IA,0
2020-01-28,ID,0
2020-01-28,IL,1
2020-01-28,IN,0
2020-01-28,KS,0
2020-01-28,KY,0
2020-01-28,LA,0
2020-01-28,MA,0
2020-01-28,MD,0
2020-01-28,ME,0
2020-01-28,MI,0
2020-01-28,MN,0
2020-01-28,MO,0
2020-01-28,MS,0
2020-01-28,MT,0
2020-01-28,NC,0
2020-01-28,ND,0
2020-01-28,NE,0
2020-01-28,NH,0
2020-01-28,NJ,0
2020-01-28,NM,0
2020-01-28,NV,0
2020-01-28,NY,0
2020-01-28,OH,0
2020-01-28,OK,0
2020-01-28,OR,0
2020-01-28,PA,0
2020-01-28,RI,0
2020-01-28,SC,0
2020-01-28,SD,0
2020-01-28,TN,0
2020-01-28,TX,0
2020-01-28,UT,0
2020-01-28,VA,0
2020-01-28,VT,0
2020-01-28,WA,1
2020-01-28,WI,0
2020-01-28,WV,0
2020-01-28,WY,0
2020-01-29,AK,0
2020-01-29,AL,0
2020-01-29,AR,0
2020-01-29,AZ,1
2020-01-29,CA,2
2020-01-29,CO,0
2020-01-29,CT,0
2020-01-29,D.C.,0
2020-01-29,DE,0
2020-01-29,FL,0
2020-01-29,GA,0
2020-01-29,HI,0
2020-01-29,IA,0
2020-01-29,ID,0
2020-01-29,IL,1
2020-01-29,IN,0
2020-01-29,KS,0
2020-01-29,KY,0
2020-01-29,LA,0
2020-01-29,MA,0
2020-01-29,MD,0
2020-01-29,ME,0
2020-01-29,MI,0
2020-01-29,MN,0
2020-01-29,MO,0
2020-01-29,MS,0
2020-01-29,MT,0
2020-01-29,NC,0
2020-01-29,ND,0
2020-01-29,NE,0
2020-01-29,NH,0
2020-01-29,NJ,0
2020-01-29,NM,0
2020-01-29,NV,0
2020-01-29,NY,0
2020-01-29,OH,0
2020-01-29,OK,0
2020-01-29,OR,0
2020-01-29,PA,0
2020-01-29,RI,0
2020-01-29,SC,0
2020-01-29,SD,0
2020-01-29,TN,0
2020-01-29,TX,0
2020-01-29,UT,0
2020-01-29,VA,0
2020-01-29,VT,0
2020-01-29,WA,1
2020-01-29,WI,0
2020-01-29,WV,0
2020-01-29,WY,0
2020-01-30,AK,0
2020-01-30,AL,0
2020-01-30,AR,0
2020-01-30,AZ,1
2020-01-30,CA,2
2020-01-30,CO,0
2020-01-30,CT,0
2020-01-30,D.C.,0
2020-01-30,DE,0
2020-01-30,FL,0
2020-01-30,GA,0
2020-01-30,HI,0
2020-01-30,IA,0
2020-01-30,ID,0
2020-01-30,IL,1
2020-01-30,IN,0
2020-01-30,KS,0
2020-01-30,KY,0
2020-01-30,LA,0
2020-01-30,MA,0
2020-01-30,MD,0
2020-01-30,ME,0
2020-01-30,MI,0
2020-01-30,MN,0
2020-01-30,MO,0
2020-01-30,MS,0
2020-01-30,MT,0
2020-01-30,NC,0
2020-01-30,ND,0
2020-01-30,NE,0
2020-01-30,NH,0
2020-01-30,NJ,0
2020-01-30,NM,0
2020-01-30,NV,0
2020-01-30,NY,0
2020-01-30,OH,0
2020-01-30,OK,0
2020-01-30,OR,0
2020-01-30,PA,0
2020-01-30,RI,0
2020-01-30,SC,0
2020-01-30,SD,0
2020-01-30,TN,0
2020-01-30,TX,0
2020-01-30,UT,0
2020-01-30,VA,0
2020-01-30,VT,0
2020-01-30,WA,1
2020-01-30,WI,0
2020-01-30,WV,0
2020-01-30,WY,0
2020-01-31,AK,0
2020-01-31,AL,0
2020-01-31,AR,0
2020-01-31,AZ,1
2020-01-31,CA,3
2020-01-31,CO,0
2020-01-31,CT,0
2020-01-31,D.C.,0
2020-01-31,DE,0
2020-01-31,FL,0
2020-01-31,GA,0
2020-01-31,HI,0
2020-01-31,IA,0
2020-01-31,ID,0
2020-01-31,IL,2
2020-01-31,IN,0
2020-01-31,KS,0
2020-01-31,KY,0
2020-01-31,LA,0
2020-01-31,MA,0
2020-01-31,MD,0
2020-01-31,ME,0
2020-01-31,MI,0
2020-01-31,MN,0
2020-01-31,MO,0
2020-01-31,MS,0
2020-01-31,MT,0
2020-01-31,NC,0
2020-01-31,ND,0
2020-01-31,NE,0
2020-01-31,NH,0
2020-01-31,NJ,0
2020-01-31,NM,0
2020-01-31,NV,0
2020-01-31,NY,0
2020-01-31,OH,0
2020-01-31,OK,0
2020-01-31,OR,0
2020-01-31,PA,0
2020-01-31,RI,0
2020-01-31,SC,0
2020-01-31,SD,0
2020-01-31,TN,0
2020-01-31,TX,0
2020-01-31,UT,0
2020-01-31,VA,0
2020-01-31,VT,0
2020-01-31,WA,1
2020-01-31,WI,0
2020-01-31,WV,0
2020-01-31,WY,0
2020-02-01,AK,0
2020-02-01,AL,0
2020-02-01,AR,0
2020-02-01,AZ,1
2020-02-01,CA,3
2020-02-01,CO,0
2020-02-01,CT,0
2020-02-01,D.C.,0
2020-02-01,DE,0
2020-02-01,FL,0
2020-02-01,GA,0
2020-02-01,HI,0
2020-02-01,IA,0
2020-02-01,ID,0
2020-02-01,IL,2
2020-02-01,IN,0
2020-02-01,KS,0
2020-02-01,KY,0
2020-02-01,LA,0
2020-02-01,MA,1
2020-02-01,MD,0
2020-02-01,ME,0
2020-02-01,MI,0
2020-02-01,MN,0
2020-02-01,MO,0
2020-02-01,MS,0
2020-02-01,MT,0
2020-02-01,NC,0
2020-02-01,ND,0
2020-02-01,NE,0
2020-02-01,NH,0
2020-02-01,NJ,0
2020-02-01,NM,0
2020-02-01,NV,0
2020-02-01,NY,0
2020-02-01,OH,0
2020-02-01,OK,0
2020-02-01,OR,0
2020-02-01,PA,0
2020-02-01,RI,0
2020-02-01,SC,0
2020-02-01,SD,0
2020-02-01,TN,0
2020-02-01,TX,0
2020-02-01,UT,0
2020-02-01,VA,0
2020-02-01,VT,0
2020-02-01,WA,1
2020-02-01,WI,0
2020-02-01,WV,0
2020-02-01,WY,0
2020-02-02,AK,0
2020-02-02,AL,0
2020-02-02,AR,0
2020-02-02,AZ,1
2020-02-02,CA,3
2020-02-02,CO,0
2020-02-02,CT,0
2020-02-02,D.C.,0
2020-02-02,DE,0
2020-02-02,FL,0
2020-02-02,GA,0
2020-02-02,HI,0
2020-02-02,IA,0
2020-02-02,ID,0
2020-02-02,IL,2
2020-02-02,IN,0
2020-02-02,KS,0
2020-02-02,KY,0
2020-02-02,LA,0
2020-02-02,MA,1
2020-02-02,MD,0
2020-02-02,ME,0
2020-02-02,MI,0
2020-02-02,MN,0
2020-02-02,MO,0
2020-02-02,MS,0
2020-02-02,MT,0
2020-02-02,NC,0
2020-02-02,ND,0
2020-02-02,NE,0
2020-02-02,NH,0
2020-02-02,NJ,0
2020-02-02,NM,0
2020-02-02,NV,0
2020-02-02,NY,0
2020-02-02,OH,0
2020-02-02,OK,0
2020-02-02,OR,0
2020-02-02,PA,0
2020-02-02,RI,0
2020-02-02,SC,0
2020-02-02,SD,0
2020-02-02,TN,0
2020-02-02,TX,0
2020-02-02,UT,0
2020-02-02,VA,0
2020-02-02,VT,0
2020-02-02,WA,1
2020-02-02,WI,0
2020-02-02,WV,0
2020-02-02,WY,0
2020-02-03,AK,0
2020-02-03,AL,0
2020-02-03,AR,0
2020-02-03,AZ,1
2020-02-03,CA,6
2020-02-03,CO,0
2020-02-03,CT,0
2020-02-03,D.C.,0
2020-02-03,DE,0
2020-02-03,FL,0
2020-02-03,GA,0
2020-02-03,HI,0
2020-02-03,IA,0
2020-02-03,ID,0
2020-02-03,IL,2
2020-02-03,IN,0
2020-02-03,KS,0
2020-02-03,KY,0
2020-02-03,LA,0
2020-02-03,MA,1
2020-02-03,MD,0
2020-02-03,ME,0
2020-02-03,MI,0
2020-02-03,MN,0
2020-02-03,MO,0
2020-02-03,MS,0
2020-02-03,MT,0
2020-02-03,NC,0
2020-02-03,ND,0
2020-02-03,NE,0
2020-02-03,NH,0
2020-02-03,NJ,0
2020-02-03,NM,0
2020-02-03,NV,0
2020-02-03,NY,0
2020-02-03,OH,0
2020-02-03,OK,0
2020-02-03,OR,0
2020-02-03,PA,0
2020-02-03,RI,0
2020-02-03,SC,0
2020-02-03,SD,0
2020-02-03,TN,0
2020-02-03,TX,0
2020-02-03,UT,0
2020-02-03,VA,0
2020-02-03,VT,0
2020-02-03,WA,1
2020-02-03,WI,0
2020-02-03,WV,0
2020-02-03,WY,0
2020-02-04,AK,0
2020-02-04,AL,0
2020-02-04,AR,0
2020-02-04,AZ,1
2020-02-04,CA,6
2020-02-04,CO,0
2020-02-04,CT,0
2020-02-04,D.C.,0
2020-02-04,DE,0
2020-02-04,FL,0
2020-02-04,GA,0
2020-02-04,HI,0
2020-02-04,IA,0
2020-02-04,ID,0
2020-02-04,IL,2
2020-02-04,IN,0
2020-02-04,KS,0
2020-02-04,KY,0
2020-02-04,LA,0
2020-02-04,MA,1
2020-02-04,MD,0
2020-02-04,ME,0
2020-02-04,MI,0
2020-02-04,MN,0
2020-02-04,MO,0
2020-02-04,MS,0
2020-02-04,MT,0
2020-02-04,NC,0
2020-02-04,ND,0
2020-02-04,NE,0
2020-02-04,NH,0
2020-02-04,NJ,0
2020-02-04,NM,0
2020-02-04,NV,0
2020-02-04,NY,0
2020-02-04,OH,0
2020-02-04,OK,0
2020-02-04,OR,0
2020-02-04,PA,0
2020-02-04,RI,0
2020-02-04,SC,0
2020-02-04,SD,0
2020-02-04,TN,0
2020-02-04,TX,0
2020-02-04,UT,0
2020-02-04,VA,0
2020-02-04,VT,0
2020-02-04,WA,1
2020-02-04,WI,0
2020-02-04,WV,0
2020-02-04,WY,0
2020-02-05,AK,0
2020-02-05,AL,0
2020-02-05,AR,0
2020-02-05,AZ,1
2020-02-05,CA,6
2020-02-05,CO,0
2020-02-05,CT,0
2020-02-05,D.C.,0
2020-02-05,DE,0
2020-02-05,FL,0
2020-02-05,GA,0
2020-02-05,HI,0
2020-02-05,IA,0
2020-02-05,ID,0
2020-02-05,IL,2
2020-02-05,IN,0
2020-02-05,KS,0
2020-02-05,KY,0
2020-02-05,LA,0
2020-02-05,MA,1
2020-02-05,MD,0
2020-02-05,ME,0
2020-02-05,MI,0
2020-02-05,MN,0
2020-02-05,MO,0
2020-02-05,MS,0
2020-02-05,MT,0
2020-02-05,NC,0
2020-02-05,ND,0
2020-02-05,NE,0
2020-02-05,NH,0
2020-02-05,NJ,0
2020-02-05,NM,0
2020-02-05,NV,0
2020-02-05,NY,0
2020-02-05,OH,0
2020-02-05,OK,0
2020-02-05,OR,0
2020-02-05,PA,0
2020-02-05,RI,0
2020-02-05,SC,0
2020-02-05,SD,0
2020-02-05,TN,0
2020-02-05,TX,0
2020-02-05,UT,0
2020-02-05,VA,0
2020-02-05,VT,0
2020-02-05,WA,1
2020-02-05,WI,0
2020-02-05,WV,0
2020-02-05,WY,0
2020-02-06,AK,0
2020-02-06,AL,0
2020-02-06,AR,0
2020-02-06,AZ,1
2020-02-06,CA,6
2020-02-06,CO,0
2020-02-06,CT,0
2020-02-06,D.C.,0
2020-02-06,DE,0
2020-02-06,FL,0
2020-02-06,GA,0
2020-02-06,HI,0
2020-02-06,IA,0
2020-02-06,ID,0
2020-02-06,IL,2
2020-02-06,IN,0
2020-02-06,KS,0
2020-02-06,KY,0
2020-02-06,LA,0
2020-02-06,MA,1
2020-02-06,MD,0
2020-02-06,ME,0
2020-02-06,MI,0
2020-02-06,MN,0
2020-02-06,MO,0
2020-02-06,MS,0
2020-02-06,MT,0
2020-02-06,NC,0
2020-02-06,ND,0
2020-02-06,NE,0
2020-02-06,NH,0
2020-02-06,NJ,0
2020-02-06,NM,0
2020-02-06,NV,0
2020-02-06,NY,0
2020-02-06,OH,0
2020-02-06,OK,0
2020-02-06,OR,0
2020-02-06,PA,0
2020-02-06,RI,0
2020-02-06,SC,0
2020-02-06,SD,0
2020-02-06,TN,0
2020-02-06,TX,0
2020-02-06,UT,0
2020-02-06,VA,0
2020-02-06,VT,0
2020-02-06,WA,1
2020-02-06,WI,0
2020-02-06,WV,0
2020-02-06,WY,0
2020-02-07,AK,0
2020-02-07,AL,0
2020-02-07,AR,0
2020-02-07,AZ,1
2020-02-07,CA,6
2020-02-07,CO,0
2020-02-07,CT,0
2020-02-07,D.C.,0
2020-02-07,DE,0
2020-02-07,FL,0
2020-02-07,GA,0
2020-02-07,HI,0
2020-02-07,IA,0
2020-02-07,ID,0
2020-02-07,IL,2
2020-02-07,IN,0
2020-02-07,KS,0
2020-02-07,KY,0
2020-02-07,LA,0
2020-02-07,MA,1
2020-02-07,MD,0
2020-02-07,ME,0
2020-02-07,MI,0
2020-02-07,MN,0
2020-02-07,MO,0
2020-02-07,MS,0
2020-02-07,MT,0
2020-02-07,NC,0
2020-02-07,ND,0
2020-02-07,NE,0
2020-02-07,NH,0
2020-02-07,NJ,0
2020-02-07,NM,0
2020-02-07,NV,0
2020-02-07,NY,0
2020-02-07,OH,0
2020-02-07,OK,0
2020-02-07,OR,0
2020-02-07,PA,0
2020-02-07,RI,0
2020-02-07,SC,0
2020-02-07,SD,0
2020-02-07,TN,0
2020-02-07,TX,0
2020-02-07,UT,0
2020-02-07,VA,0
2020-02-07,VT,0
2020-02-07,WA,1
2020-02-07,WI,0
2020-02-07,WV,0
2020-02-07,WY,0
2020-02-08,AK,0
2020-02-08,AL,0
2020-02-08,AR,0
2020-02-08,AZ,1
2020-02-08,CA,6
2020-02-08,CO,0
2020-02-08,CT,0
2020-02-08,D.C.,0
2020-02-08,DE,0
2020-02-08,FL,0
2020-02-08,GA,0
2020-02-08,HI,0
2020-02-08,IA,0
2020-02-08,ID,0
2020-02-08,IL,2
2020-02-08,IN,0
2020-02-08,KS,0
2020-02-08,KY,0
2020-02-08,LA,0
2020-02-08,MA,1
2020-02-08,MD,0
2020-02-08,ME,0
2020-02-08,MI,0
2020-02-08,MN,0
2020-02-08,MO,0
2020-02-08,MS,0
2020-02-08,MT,0
2020-02-08,NC,0
2020-02-08,ND,0
2020-02-08,NE,0
2020-02-08,NH,0
2020-02-08,NJ,0
2020-02-08,NM,0
2020-02-08,NV,0
2020-02-08,NY,0
2020-02-08,OH,0
2020-02-08,OK,0
2020-02-08,OR,0
2020-02-08,PA,0
2020-02-08,RI,0
2020-02-08,SC,0
2020-02-08,SD,0
2020-02-08,TN,0
2020-02-08,TX,0
2020-02-08,UT,0
2020-02-08,VA,0
2020-02-08,VT,0
2020-02-08,WA,1
2020-02-08,WI,0
2020-02-08,WV,0
2020-02-08,WY,0
2020-02-09,AK,0
2020-02-09,AL,0
2020-02-09,AR,0
2020-02-09,AZ,1
2020-02-09,CA,6
2020-02-09,CO,0
2020-02-09,CT,0
2020-02-09,D.C.,0
2020-02-09,DE,0
2020-02-09,FL,0
2020-02-09,GA,0
2020-02-09,HI,0
2020-02-09,IA,0
2020-02-09,ID,0
2020-02-09,IL,2
2020-02-09,IN,0
2020-02-09,KS,0
2020-02-09,KY,0
2020-02-09,LA,0
2020-02-09,MA,1
2020-02-09,MD,0
2020-02-09,ME,0
2020-02-09,MI,0
2020-02-09,MN,0
2020-02-09,MO,0
2020-02-09,MS,0
2020-02-09,MT,0
2020-02-09,NC,0
2020-02-09,ND,0
2020-02-09,NE,0
2020-02-09,NH,0
2020-02-09,NJ,0
2020-02-09,NM,0
2020-02-09,NV,0
2020-02-09,NY,0
2020-02-09,OH,0
2020-02-09,OK,0
2020-02-09,OR,0
2020-02-09,PA,0
2020-02-09,RI,0
2020-02-09,SC,0
2020-02-09,SD,0
2020-02-09,TN,0
2020-02-09,TX,0
2020-02-09,UT,0
2020-02-09,VA,0
2020-02-09,VT,0
2020-02-09,WA,1
2020-02-09,WI,0
2020-02-09,WV,0
2020-02-09,WY,0
2020-02-10,AK,0
2020-02-10,AL,0
2020-02-10,AR,0
2020-02-10,AZ,1
2020-02-10,CA,6
2020-02-10,CO,0
2020-02-10,CT,0
2020-02-10,D.C.,0
2020-02-10,DE,0
2020-02-10,FL,0
2020-02-10,GA,0
2020-02-10,HI,0
2020-02-10,IA,0
2020-02-10,ID,0
2020-02-10,IL,2
2020-02-10,IN,0
2020-02-10,KS,0
2020-02-10,KY,0
2020-02-10,LA,0
2020-02-10,MA,1
2020-02-10,MD,0
2020-02-10,ME,0
2020-02-10,MI,0
2020-02-10,MN,0
2020-02-10,MO,0
2020-02-10,MS,0
2020-02-10,MT,0
2020-02-10,NC,0
2020-02-10,ND,0
2020-02-10,NE,0
2020-02-10,NH,0
2020-02-10,NJ,0
2020-02-10,NM,0
2020-02-10,NV,0
2020-02-10,NY,0
2020-02-10,OH,0
2020-02-10,OK,0
2020-02-10,OR,0
2020-02-10,PA,0
2020-02-10,RI,0
2020-02-10,SC,0
2020-02-10,SD,0
2020-02-10,TN,0
2020-02-10,TX,0
2020-02-10,UT,0
2020-02-10,VA,0
2020-02-10,VT,0
2020-02-10,WA,1
2020-02-10,WI,0
2020-02-10,WV,0
2020-02-10,WY,0
2020-02-11,AK,0
2020-02-11,AL,0
2020-02-11,AR,0
2020-02-11,AZ,1
2020-02-11,CA,7
2020-02-11,CO,0
2020-02-11,CT,0
2020-02-11,D.C.,0
2020-02-11,DE,0
2020-02-11,FL,0
2020-02-11,GA,0
2020-02-11,HI,0
2020-02-11,IA,0
2020-02-11,ID,0
2020-02-11,IL,2
2020-02-11,IN,0
2020-02-11,KS,0
2020-02-11,KY,0
2020-02-11,LA,0
2020-02-11,MA,1
2020-02-11,MD,0
2020-02-11,ME,0
2020-02-11,MI,0
2020-02-11,MN,0
2020-02-11,MO,0
2020-02-11,MS,0
2020-02-11,MT,0
2020-02-11,NC,0
2020-02-11,ND,0
2020-02-11,NE,0
2020-02-11,NH,0
2020-02-11,NJ,0
2020-02-11,NM,0
2020-02-11,NV,0
2020-02-11,NY,0
2020-02-11,OH,0
2020-02-11,OK,0
2020-02-11,OR,0
2020-02-11,PA,0
2020-02-11,RI,0
2020-02-11,SC,0
2020-02-11,SD,0
2020-02-11,TN,0
2020-02-11,TX,0
2020-02-11,UT,0
2020-02-11,VA,0
2020-02-11,VT,0
2020-02-11,WA,1
2020-02-11,WI,0
2020-02-11,WV,0
2020-02-11,WY,0
2020-02-12,AK,0
2020-02-12,AL,0
2020-02-12,AR,0
2020-02-12,AZ,1
2020-02-12,CA,7
2020-02-12,CO,0
2020-02-12,CT,0
2020-02-12,D.C.,0
2020-02-12,DE,0
2020-02-12,FL,0
2020-02-12,GA,0
2020-02-12,HI,0
2020-02-12,IA,0
2020-02-12,ID,0
2020-02-12,IL,2
2020-02-12,IN,0
2020-02-12,KS,0
2020-02-12,KY,0
2020-02-12,LA,0
2020-02-12,MA,1
2020-02-12,MD,0
2020-02-12,ME,0
2020-02-12,MI,0
2020-02-12,MN,0
2020-02-12,MO,0
2020-02-12,MS,0
2020-02-12,MT,0
2020-02-12,NC,0
2020-02-12,ND,0
2020-02-12,NE,0
2020-02-12,NH,0
2020-02-12,NJ,0
2020-02-12,NM,0
2020-02-12,NV,0
2020-02-12,NY,0
2020-02-12,OH,0
2020-02-12,OK,0
2020-02-12,OR,0
2020-02-12,PA,0
2020-02-12,RI,0
2020-02-12,SC,0
2020-02-12,SD,0
2020-02-12,TN,0
2020-02-12,TX,0
2020-02-12,UT,0
2020-02-12,VA,0
2020-02-12,VT,0
2020-02-12,WA,1
2020-02-12,WI,0
2020-02-12,WV,0
2020-02-12,WY,0
2020-02-13,AK,0
2020-02-13,AL,0
2020-02-13,AR,0
2020-02-13,AZ,1
2020-02-13,CA,8
2020-02-13,CO,0
2020-02-13,CT,0
2020-02-13,D.C.,0
2020-02-13,DE,0
2020-02-13,FL,0
2020-02-13,GA,0
2020-02-13,HI,0
2020-02-13,IA,0
2020-02-13,ID,0
2020-02-13,IL,2
2020-02-13,IN,0
2020-02-13,KS,0
2020-02-13,KY,0
2020-02-13,LA,0
2020-02-13,MA,1
2020-02-13,MD,0
2020-02-13,ME,0
2020-02-13,MI,0
2020-02-13,MN,0
2020-02-13,MO,0
2020-02-13,MS,0
2020-02-13,MT,0
2020-02-13,NC,0
2020-02-13,ND,0
2020-02-13,NE,0
2020-02-13,NH,0
2020-02-13,NJ,0
2020-02-13,NM,0
2020-02-13,NV,0
2020-02-13,NY,0
